puuid,leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,ratedTier,ratedRating
beU5pNxRlRunn-5yNfbblf8MSXGBOgRFKewqDlj4a_TArdKGp9MNrIQu7mgql79a-qI1QZ8juyGMFQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,vBXHAjZchpMMZKQtY74l-FS-I2V8doz1pXWdAo6OxgylfrpEvGcDdRdG5w,532.0,153,117,False,False,True,False,,
X0_t4dgPGojhvqTB7XqECjO-_hfuPSiMQzAAceniRVzYnISb2diUbk9oOszxcgRs96f_raNipNu7Mg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,0e7KuzZxFGM7veovFjJX4YQZ-_y959SjDwmXgxCEz9Eg-A4,532.0,118,88,False,False,True,False,,
_VTy6vwyq_bv1JvppaeEDeueDA3wUlLiA-zLXtloab2KBYlP5WHZIdGQopbVMbC0M7iqRpziZQVGEA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,kQ93x7Ok4Zw2rfh4ZL-doNHJmI_Zd5Oc7XAiEuAQkN7GU4M,520.0,152,113,False,False,True,False,,
0YV7didclxGV34PofCRkgfVJw11t0HgfDa9SJwXCVPhk4LdEvaj77oZ8cbHz2WqgMjbQCMmget30_Q,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,el9pbYk6SA8w1de8Eh-amp_n-ChUhlqp1E8CUTzC6A13_Dw,528.0,157,123,False,False,True,False,,
MLMfwY5l1MwtAC55F31_5zQkBTjtppsfD2Pr6ZUuwMLd3DHzK5fJGFAEEaS8LPC563fjBTQvInVxFg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,_XMOKg341bL3WIQGpmUbCF9EvdQpMhHxJ-bSBLVJC_GOLBoz6AcIvBXqkg,528.0,97,70,False,False,True,False,,
HBPh1ZB3gelNG3vo7u_1M2FHyjvBTMJwSAIFvefylCfB1Zs3D-Sp9GS2IoQj2ERYSAsWtZPHCvZP_Q,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,R-nMwtmafWTelS2tsxH8yNFLAMOoJJGUqJMxYml83mrmGpU,527.0,111,87,False,False,True,True,,
HBPh1ZB3gelNG3vo7u_1M2FHyjvBTMJwSAIFvefylCfB1Zs3D-Sp9GS2IoQj2ERYSAsWtZPHCvZP_Q,0a935266-8ddc-4e5a-b542-4496533d8768,RANKED_TFT_DOUBLE_UP,SILVER,IV,59290632,39.0,4,2,False,False,True,True,,
UQoQjampvPoxKO2J4eh4SDujUun3lZ6Ki18sTJQ0X_c_Mp726oajh3eZRero-dhz3ocbpSA-uxL6vw,72b774f7-9ba8-45cd-a0e5-9f84d4dd59ee,RANKED_TFT_DOUBLE_UP,DIAMOND,I,10391619,28.0,44,14,False,False,True,False,,
UQoQjampvPoxKO2J4eh4SDujUun3lZ6Ki18sTJQ0X_c_Mp726oajh3eZRero-dhz3ocbpSA-uxL6vw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,Q686PkmQSygSG2CgBZJrRYiHkp_PZDX73cz931Qa351cA9k,527.0,82,43,False,False,True,True,,
8PpwM3NjzHyfVWSQj3gi0fHbIlwr3Nc02IIRVDf0hQPswwQoS4zehu2uxJVT-xnygzcQHiOb7HVNcw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,BcsE8w_JnEq_zfWtZGOLABTjhKAWrpaO-k1OzcF5F70RtqdDShUHuBNFkg,523.0,216,198,False,False,True,False,,
YWxmK3Hdknja1xzb2eJL7-1dlwn1PaN932Zt3N8JaYtKcilh5SgT-XlsrjLkOOAkEPc_lIW_XCIrJA,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,V1mtalXpw6yngDmHoy8uVHYcNhwbt8rdjc_5DuMvPhnI5bNm-Uh5aOIAUg,521.0,70,42,False,False,True,False,,
j1dAboSIH5z-hNMhlRFVBLsdphG3dVxVMOPAy_WvO6r4IlAkSf3YTE4v8-Nyt6svgGe17ooonzGC4A,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,5c0zhP8EVHBBp_lQdMEMdQ_i5XuU6GBqMOPL7TRC5EVLdw,520.0,129,101,False,False,True,True,,
6U6c7v7PpZ4yiNmppplJx3KP90-1zQCFFcgjJcomolrJG9URRxA7Tcf7hMPTenED5Fu5SRXBdo7eYw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,GFX33syTxgJt9PVHStwzHJQNnppUF_eMpCN0X9Vm4X8m3ts,520.0,128,86,False,False,True,True,,
OuoAPd22eKrTmW6J6mbCjTsVDD39C2Y3WKAfCGEC8y10QVmzbdYhW0q-ZuTXYxma_tOCt7gpXocHMQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,if5sDaSnm43rMmeTupU5UD3yp-B6YZBCdhsA8R82Qx8XbLM,519.0,130,101,False,False,True,True,,
zi-gp1qHyJOUEer58B5urFCO72Oem_3DwZHQnrBAwJF3kghV8dRWGBowzvkKgU1e2FseCjM8XzlEGw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,Wm4jXe2PtnADKdcb98MPxgfcXZlo4Ep2ATHMjPXkcb9PzVDfKbOPrikoyQ,517.0,75,39,False,False,True,False,,
C7JijnKL5Aifh1M2o0b8Ae-ibWmff3xnRjznXqBN8Qb-Go3aykaOXmdc6dppnYW937wooU1PsHzJaQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,quEAMFikiXdo4VQcf1Pdh4TmWIf8gJhr1BJ1OQAc9kT4Ae0,516.0,198,185,False,False,True,False,,
zYkUnvR04q2cW1p-sqeSoQwlfa_wQqolTEW94DGKd9tTnj9wQKS96zTObQlHnaXUCa2wEl7VIy5gBQ,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,ZZ1lJjYBwX5Rcx5-W56j11YaJe1SoZGMAbc71f42C3YY6mzVbePZQADImA,516.0,125,93,False,False,True,True,,
F1BlsqMXzA5DJ8jezWyI9IQcQ5dtLxkgUyuARJZtH_VUee7U9QQ_gEaqBMT4NCxfZsZevVA3OCkqOw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,0C3zw3upREcFqbYv8gdWcRKT_GrOyxkjylV0hKiS7UEBKh0,516.0,109,71,False,False,True,True,,
0XxKnaL936cJ5AXKvfbGMuR-k2k5VqVpiKXeEYLPVgpkFWcwWin0Wb6GsLNPsubw93UvxmBicx0kTg,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,UPF7VuJlZ2zvRHep1zneU6OE26PdTdHpzv3fA4wgfiwVdLNlvhBDyW6rTw,515.0,208,181,False,False,True,False,,
Sc96Yv8g-kh16WdNgXA1LZqZJAYdrR_xy4fWbG8VUihuf-8IbEz9Y5rcUJYfqM3SpWhW2XQmcE4xWw,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,P2mQsqa__CtOqNkLbSodsrY8s_tMiKPoLMJ4KbWGIPQ_Q0GcF4sM1suV6w,515.0,123,74,False,False,True,True,,
s4ZmpNWIyKrxY-_xWkjQwXSUR1fpbUMzBmgTNeijMu0l0_uueyJ9r-MrghJffWv-0XC3_XOPxQgH0A,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,WIv4WISFAv21V2gNH9KwlIgR4UxzPcPdXAAu2CBqNVviqdY,514.0,93,71,False,False,True,True,,
EjTPtXsHYtAgiOra6fOENXJTTI5cBHNq_kJlvVTTSNhuS_0ab4SLMDRcC0FprmUBMryXCscIBGX80w,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,TWjDoll143-fkwfEsbAtHpHZcf3CWWboLsdVp0smKoPCixYS,513.0,98,64,False,False,True,True,,
FRCoY3U1kLkaP2dx9qIZHAlnLKhPQugcj46QEya465GoadYn-5fORL2fAsR9fF_AI_27LWu8EHEV-g,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,2JsnS_FMUE__IFZi_Fn-56_s0h06F5K5jJZknVZpzHbf2d0,512.0,98,64,False,False,True,True,,
eRre5KS9XtcwR1AOBF5FY475B5Fak7NNFMm6jDbZEqPYlBC-nkhDtXU3R78vJZFmBWMGr9ViAXrx9g,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,CHALLENGER,I,nThlCDWduzX2oO87TXmoLB1yd3XWA2NVicL4hGy3Lsf2AHsqr5aCt5CVYA,510.0,82,55,False,False,True,True,,
